COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,29055,ASTRA 1KR,PAYLOAD,U,06012A,2024-03-04 21:04:42,526272,1.00269697,0.0002929,0.0775,281.1288,11.7185,205.6169,0,999,3735,0,0.00000123,0,4208633,0 ASTRA 1KR,1 29055U 06012A   24064.87826998  .00000123  00000-0  00000-0 0  9999,2 29055   0.0775 281.1288 0002929  11.7185 205.6169  1.00269697 37354,2006-012A,29055,42165.317,1436.127,35799.533,35774.832,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,33436,ASTRA 1M,PAYLOAD,U,08057A,2024-03-04 21:04:42,526272,1.00270343,0.0001476,0.0151,108.5341,297.9245,92.0064,0,999,3737,0,0.00000123,0,4208633,0 ASTRA 1M,1 33436U 08057A   24064.87826998  .00000123  00000-0  00000-0 0  9998,2 33436   0.0151 108.5341 0001476 297.9245  92.0064  1.00270343 37377,2008-057A,33436,42165.136,1436.118,35793.225,35780.778,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,41384,IRNSS 1F,PAYLOAD,U,16015A,2024-03-04 20:46:06,612384,1.00276372,0.0020343,3.3271,121.826,190.6054,194.6754,0,999,2930,0,0.00000161,0,4208633,0 IRNSS 1F,1 41384U 16015A   24064.86535431  .00000161  00000-0  00000-0 0  9992,2 41384   3.3271 121.8260 0020343 190.6054 194.6754  1.00276372 29303,2016-015A,41384,42163.446,1436.031,35871.084,35699.538,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42915,TDRS 13,PAYLOAD,U,17047A,2024-03-04 20:33:34,737120,1.00271753,0.0014119,3.7292,342.4552,106.3236,11.1854,0,999,2398,0,-0.00000092,0,4208633,0 TDRS 13,1 42915U 17047A   24064.85665205 -.00000092  00000-0  00000-0 0  9995,2 42915   3.7292 342.4552 0014119 106.3236  11.1854  1.00271753 23986,2017-047A,42915,42164.741,1436.097,35846.138,35727.074,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44066,S5 DEB,DEBRIS,U,19009E,2024-03-04 20:31:26,128992,0.98987557,0.0005689,4.4385,80.7533,197.4383,162.7717,0,999,1810,0,-0.00000233,0,4209183,0 S5 DEB,1 44066U 19009E   24064.85516353 -.00000233  00000-0  00000-0 0  9990,2 44066   4.4385  80.7533 0005689 197.4383 162.7717  0.98987557 18104,2019-009E,44066,42528.634,1454.728,36174.694,36126.305,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44066,S5 DEB,DEBRIS,U,19009E,2024-03-04 20:31:26,128992,0.98987557,0.0005689,4.4385,80.7533,197.4383,162.7717,0,999,1810,0,-0.00000233,0,4209348,0 S5 DEB,1 44066U 19009E   24064.85516353 -.00000233  00000-0  00000+0 0  9999,2 44066   4.4385  80.7533 0005689 197.4383 162.7717  0.98987557 18104,2019-009E,44066,42528.634,1454.728,36174.694,36126.305,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,42749,ECHOSTAR 21,PAYLOAD,U,17032A,2024-03-04 20:14:42,438336,1.00271519,0.0002274,2.7223,317.6207,24.1604,135.2043,0,999,2474,0,0.00000071,0,4208633,0 ECHOSTAR 21,1 42749U 17032A   24064.84354674  .00000071  00000-0  00000-0 0  9994,2 42749   2.7223 317.6207 0002274  24.1604 135.2043  1.00271519 24743,2017-032A,42749,42164.807,1436.101,35796.260,35777.083,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44457,COSMOS 2539,PAYLOAD,U,19048A,2024-03-04 20:14:42,438336,1.00270122,0.0000062,0.0153,124.7984,148.1594,205.7766,0,999,1686,0,0.00000084,0,4208633,0 COSMOS 2539,1 44457U 19048A   24064.84354674  .00000084  00000-0  00000-0 0  9995,2 44457   0.0153 124.7984 0000062 148.1594 205.7766  1.00270122 16869,2019-048A,44457,42165.198,1436.121,35787.325,35786.802,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,44307,YAMAL 601,PAYLOAD,U,19031A,2024-03-04 20:02:42,594144,1.00270821,0.0002349,0.0104,154.3918,197.6089,160.7257,0,999,1755,0,0.00000123,0,4208633,0 YAMAL 601,1 44307U 19031A   24064.83521521  .00000123  00000-0  00000-0 0  9991,2 44307   0.0104 154.3918 0002349 197.6089 160.7257  1.00270821 17551,2019-031A,44307,42165.002,1436.111,35796.772,35776.963,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,43162,SBIRS GEO 3 (USA 282),PAYLOAD,U,18009A,2024-03-04 19:51:15,333984,1.00272064,0.0001816,2.4899,331.8578,22.3951,307.2044,0,999,2247,0,0.00000134,0,4208118,0 SBIRS GEO 3 (USA 282),1 43162U 18009A   24064.82726081  .00000134  00000-0  00000+0 0  9991,2 43162   2.4899 331.8578 0001816  22.3951 307.2044  1.00272064 22470,2018-009A,43162,42164.654,1436.093,35794.176,35778.862,0
